what,kind,bundleId,bundleVersion,description,time
java.vendor,sysinfo,,,"Oracle Corporation",1371843873347
java.version,sysinfo,,,"1.7.0_17",1371843873347
java.vm.info,sysinfo,,,"mixed mode",1371843873347
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1371843873347
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1371843873347
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1371843873347
java.vm.specification.version,sysinfo,,,"1.7",1371843873347
java.vm.vendor,sysinfo,,,"Oracle Corporation",1371843873347
java.vm.version,sysinfo,,,"23.7-b01",1371843873347
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1371843874597
deactivated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1371843875128
activated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1371847340420
activated,view,org.eclipse.jdt.ui,3.8.2.v20130107-165834,"org.eclipse.jdt.ui.PackageExplorer",1371847340451
deactivated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1371847356748
activated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1371847629917
deactivated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1371847638331
activated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1371847792824
closed,editor,org.eclipse.jdt.ui,3.8.2.v20130107-165834,"org.eclipse.jdt.ui.CompilationUnitEditor",1371847795298
deactivated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1371847804264
activated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1371847831963
deactivated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1371847882087
activated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1371847904094
activated,perspective,org.eclipse.jdt.ui,3.8.2.v20130107-165834,"org.eclipse.jdt.ui.JavaPerspective",1371847904109
activated,perspective,org.eclipse.cdt.ui,5.3.0.201106081058,"org.eclipse.cdt.ui.CPerspective",1371847909368
started,bundle,org.eclipse.ui.navigator.resources,3.4.400.v20120705-114010,"org.eclipse.ui.navigator.resources",1371847909602
opened,view,org.eclipse.ui.navigator.resources,3.4.400.v20120705-114010,"org.eclipse.ui.navigator.ProjectExplorer",1371847909790
opened,view,org.eclipse.ui.views,3.6.100.v20120705-114010,"org.eclipse.ui.views.ContentOutline",1371847909868
activated,view,org.eclipse.ui.navigator.resources,3.4.400.v20120705-114010,"org.eclipse.ui.navigator.ProjectExplorer",1371847909915
activated,perspective,org.eclipse.jdt.ui,3.8.2.v20130107-165834,"org.eclipse.jdt.ui.JavaPerspective",1371847913649
activated,perspective,org.eclipse.pde.ui,3.7.2.v20130121-093123,"org.eclipse.pde.ui.PDEPerspective",1371847924362
activated,view,org.eclipse.jdt.ui,3.8.2.v20130107-165834,"org.eclipse.jdt.ui.PackageExplorer",1371847924378
started,bundle,org.eclipse.compare,3.5.301.v20130125-135424,"org.eclipse.compare",1371847929878
deactivated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1371847932956
activated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1371847977256
deactivated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1371847984491
activated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1371848001211
opened,editor,org.eclipse.jdt.ui,3.8.2.v20130107-165834,"org.eclipse.jdt.ui.CompilationUnitEditor",1371848001383
activated,editor,org.eclipse.jdt.ui,3.8.2.v20130107-165834,"org.eclipse.jdt.ui.CompilationUnitEditor",1371848001649
executed,command,org.eclipse.ui,3.104.0.v20121024-145224,"org.eclipse.ui.edit.selectAll",1371848007048
executed,command,org.eclipse.ui,3.104.0.v20121024-145224,"org.eclipse.ui.edit.paste",1371848007580
started,bundle,org.eclipse.jdt.junit,3.7.100.v20120523-1543,"org.eclipse.jdt.junit",1371848008548
activated,view,org.eclipse.jdt.ui,3.8.2.v20130107-165834,"org.eclipse.jdt.ui.PackageExplorer",1371848203278
started,bundle,org.eclipse.debug.ui,3.8.2.v20130130-171415,"org.eclipse.debug.ui",1371848221249
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201106081058,"org.eclipse.cdt.debug.core",1371848221342
started,bundle,org.eclipse.cdt.debug.ui,7.1.0.201106081058,"org.eclipse.cdt.debug.ui",1371848221342
started,bundle,org.eclipse.jdt.debug,3.7.101.v20120913-153601,"org.eclipse.jdt.debug",1371848221858
deactivated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1371848224486
activated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1371848229147
deactivated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1371848229366
executed,command,org.eclipse.ui,3.104.0.v20121024-145224,"org.eclipse.ui.edit.copy",1371848232887
activated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1371848234359
executed,command,org.eclipse.jdt.ui,3.8.2.v20130107-165834,"org.eclipse.jdt.ui.edit.text.java.rename.element",1371848234374
