what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.104.0.v20121024-145224,"org.eclipse.ui.edit.text.contentAssist.proposals",1371903412478
executed,command,org.eclipse.ui,3.104.0.v20121024-145224,"org.eclipse.ui.edit.text.contentAssist.proposals",1371903432233
executed,command,org.eclipse.ui,3.104.0.v20121024-145224,"org.eclipse.ui.edit.text.contentAssist.proposals",1371903434577
executed,command,org.eclipse.ui,3.104.0.v20121024-145224,"org.eclipse.ui.edit.text.contentAssist.proposals",1371903447884
executed,command,org.eclipse.ui,3.104.0.v20121024-145224,"org.eclipse.ui.edit.text.contentAssist.proposals",1371903454034
executed,command,org.eclipse.ui,3.104.0.v20121024-145224,"org.eclipse.ui.edit.text.contentAssist.proposals",1371903475533
executed,command,org.eclipse.ui,3.104.0.v20121024-145224,"org.eclipse.ui.file.save",1371903487479
executed,command,org.eclipse.debug.ui,3.8.2.v20130130-171415,"org.eclipse.debug.ui.commands.DebugLast",1371903496104
opened,view,org.eclipse.ui.console,3.5.100.v20120521-2012,"org.eclipse.ui.console.ConsoleView",1371903498794
started,bundle,org.eclipse.cdt.debug.mi.ui,6.1.0.201106081058,"org.eclipse.cdt.debug.mi.ui",1371903499278
started,bundle,org.eclipse.cdt.dsf,2.2.0.201106081058,"org.eclipse.cdt.dsf",1371903499388
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.0.201106081058,"org.eclipse.cdt.dsf.gdb",1371903499403
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.0.201106081058,"org.eclipse.cdt.dsf.gdb.ui",1371903499403
started,bundle,org.eclipse.cdt.debug.mi.core,7.1.0.201106081058,"org.eclipse.cdt.debug.mi.core",1371903499450
activated,view,org.eclipse.ui.console,3.5.100.v20120521-2012,"org.eclipse.ui.console.ConsoleView",1371903503204
activated,editor,org.eclipse.jdt.ui,3.8.2.v20130107-165834,"org.eclipse.jdt.ui.CompilationUnitEditor",1371903517771
executed,command,org.eclipse.debug.ui,3.8.2.v20130130-171415,"org.eclipse.debug.ui.commands.DebugLast",1371903540241
activated,view,org.eclipse.ui.console,3.5.100.v20120521-2012,"org.eclipse.ui.console.ConsoleView",1371903541444
deactivated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1371903550463
activated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1371903551880
error,log,,,"Referenced part does not exist yet: org.eclipse.jdt.ui.PackageExplorer.",1371903552051
activated,perspective,org.eclipse.debug.ui,3.8.2.v20130130-171415,"org.eclipse.debug.ui.DebugPerspective",1371903552098
started,bundle,org.eclipse.cdt.dsf.ui,2.2.0.201106081058,"org.eclipse.cdt.dsf.ui",1371903552851
opened,view,org.eclipse.debug.ui,3.8.2.v20130130-171415,"org.eclipse.debug.ui.DebugView",1371903552992
opened,view,org.eclipse.debug.ui,3.8.2.v20130130-171415,"org.eclipse.debug.ui.VariableView",1371903553617
activated,view,org.eclipse.ui.console,3.5.100.v20120521-2012,"org.eclipse.ui.console.ConsoleView",1371903554024
opened,view,org.eclipse.debug.ui,3.8.2.v20130130-171415,"org.eclipse.debug.ui.BreakpointView",1371903555821
opened,editor,org.eclipse.debug.ui,3.8.2.v20130130-171415,"org.eclipse.debug.ui.sourcelookup.CommonSourceNotFoundEditor",1371903556649
closed,view,org.eclipse.debug.ui,3.8.2.v20130130-171415,"org.eclipse.debug.ui.DebugView",1371903561106
closed,view,org.eclipse.debug.ui,3.8.2.v20130130-171415,"org.eclipse.debug.ui.VariableView",1371903563340
activated,view,org.eclipse.debug.ui,3.8.2.v20130130-171415,"org.eclipse.debug.ui.BreakpointView",1371903563465
activated,view,org.eclipse.ui.console,3.5.100.v20120521-2012,"org.eclipse.ui.console.ConsoleView",1371903567405
closed,view,org.eclipse.debug.ui,3.8.2.v20130130-171415,"org.eclipse.debug.ui.BreakpointView",1371903567421
closed,editor,org.eclipse.debug.ui,3.8.2.v20130130-171415,"org.eclipse.debug.ui.sourcelookup.CommonSourceNotFoundEditor",1371903570624
activated,editor,org.eclipse.jdt.ui,3.8.2.v20130107-165834,"org.eclipse.jdt.ui.CompilationUnitEditor",1371903570827
activated,perspective,org.eclipse.ui.ide.application,,"org.eclipse.ui.resourcePerspective",1371903578435
activated,editor,org.eclipse.jdt.ui,3.8.2.v20130107-165834,"org.eclipse.jdt.ui.CompilationUnitEditor",1371903578701
activated,view,org.eclipse.ui.console,3.5.100.v20120521-2012,"org.eclipse.ui.console.ConsoleView",1371903580795
activated,editor,org.eclipse.jdt.ui,3.8.2.v20130107-165834,"org.eclipse.jdt.ui.CompilationUnitEditor",1371903585057
executed,command,org.eclipse.ui,3.104.0.v20121024-145224,"org.eclipse.ui.file.save",1371903590725
deactivated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1371903591412
activated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1371903593194
activated,view,org.eclipse.ui.console,3.5.100.v20120521-2012,"org.eclipse.ui.console.ConsoleView",1371903594506
executed,command,org.eclipse.debug.ui,3.8.2.v20130130-171415,"org.eclipse.debug.ui.commands.DebugLast",1371903598102
activated,editor,org.eclipse.jdt.ui,3.8.2.v20130107-165834,"org.eclipse.jdt.ui.CompilationUnitEditor",1371903624946
deactivated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1371903628381
activated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1371903640101
